Time,Category,Temp,Moisture,Decision,NextDayInHour,Hour,NextDayInMinute
3/23/22 16:52,1,30.2,702,1,15.79225444,16,947.5352667
3/23/22 16:53,1,31.8,338,0,15.78272639,16,946.9635833
3/23/22 19:54,2,31.3,469,0,12.75771056,19,765.4626333
3/23/22 20:25,3,30.8,455,0,12.25059278,20,735.0355667
3/23/22 20:55,4,31.3,491,0,11.74347167,20,704.6083
3/23/22 21:25,5,30.8,499,0,11.23635,21,674.181
3/23/22 21:56,6,31.8,499,0,10.72922861,21,643.7537167
3/23/22 22:26,7,31.3,497,0,10.22209111,22,613.3254667
3/23/22 23:31,2,32.3,498,0,9.140370556,23,548.4222333
3/24/22 0:32,3,32.3,484,0,8.127035,0,487.6221
3/24/22 1:33,4,31.8,502,0,7.113653056,1,426.8191833
3/24/22 2:34,5,31.3,501,0,6.100258333,2,366.0155
3/24/22 7:40,1,30.8,586,0,0.989728056,7,59.38368334
3/24/22 8:36,2,31.8,628,0,0.056093333,8,3.365599997
3/24/22 8:37,1,31.3,646,0,0.044334167,8,2.660049998
3/24/22 8:39,1,31.8,682,0,0.017076944,8,1.024616668
3/24/22 8:40,1,31.8,693,1,0,8,0
3/24/22 8:41,1,31.8,395,0,4.468667222,8,268.1200333
3/24/22 10:26,1,31.8,416,0,2.708095,10,162.4857
3/24/22 11:38,1,32.3,477,0,1.519094167,11,91.14565
3/24/22 12:36,1,32.8,559,0,0.546998889,12,32.81993333
3/24/22 13:09,1,33.3,893,1,0,13,0
3/24/22 13:10,5,33.3,379,0,10.1906575,13,611.43945
3/24/22 15:24,1,34.7,531,0,7.956719444,15,477.4031667
3/24/22 17:05,1,33.6,549,0,6.264400278,17,375.8640167
3/24/22 19:26,1,31.8,611,0,3.9126475,19,234.75885
3/24/22 20:17,1,32.3,664,0,3.068408055,20,184.1044833
3/24/22 22:19,2,32.3,734,0,1.042611111,22,62.55666666
3/24/22 23:21,3,32.5,780,1,0,23,0
3/24/22 23:21,4,32.8,400,0,8.035871667,23,482.1523
